id,realty_id,total_square_meters,rooms_count,floors_count,floor,price,price_item,district_id,is_commercial,agency_id,deleted_by,delete_reason,longitude,latitude,price_usd,price_eur,price_uah
realty-17377358,17377358,120,3,10,10,18900,158,15087,1,24021,,,,,694,616,18 900
realty-17377329,17377329,117,3,6,5,1200,10,15091,1,24021,,,,,1 200,1 066,32 698
realty-17377306,17377306,35,1,5,3,8000,229,15091,1,24021,,,,,294,261,8 000
realty-17377211,17377211,40,1,4,3,8500,213,15087,1,23348,,,,,312,277,8 500
realty-17377071,17377071,34,1,3,3,7000,206,15088,1,23844,,,,,257,228,7 000
realty-17250043,17250043,65,2,10,7,8000,123,15091,1,18785,,,,,294,261,8 000
realty-17247655,17247655,52,1,9,4,8000,154,15090,1,18785,,,,,294,261,8 000
realty-17368454,17368454,150,1,3,1,12000,80,15088,1,24021,,,,,440,391,12 000
realty-17375351,17375351,60,1,10,10,400,7,15092,1,24021,,,,,400,355,10 899
realty-17013516,17013516,35,1,9,6,7000,200,15758,1,18785,admin,14,,,257,228,7 000
realty-17368550,17368550,56,2,9,6,6500,116,15090,1,29523,,,,,239,212,6 500
realty-17364679,17364679,55,1,9,4,9000,164,15091,1,24021,,,,,,,
realty-17361996,17361996,99,3,8,4,16800,170,15087,1,23348,,,,,617,548,16 800
realty-17361338,17361338,48,1,11,11,9500,198,15090,1,24021,,,,,349,310,9 500
realty-17347233,17347233,47,1,10,3,9000,191,15090,1,24021,,,,,330,293,9 000
realty-12271058,12271058,56,2,5,1,6500,116,15089,1,24288,cron,,,,239,212,6 500
realty-15594147,15594147,80,3,10,6,8000,100,15092,1,24288,cron,,,,294,261,8 000
realty-15888941,15888941,65,2,10,4,8000,123,15091,1,24288,cron,1,,,294,261,8 000
realty-17349534,17349534,53,2,10,1,5000,94,15748,1,29684,,,23.9378947,49.8765679,184,163,5 000
realty-17349535,17349535,53,2,10,1,5000,94,15748,1,29684,,,23.9378947,49.8765679,184,163,5 000
realty-17349357,17349357,52,2,9,4,5000,96,15090,1,29684,,,24.0592055,49.7824208,184,163,5 000
realty-17349335,17349335,40,1,4,2,8000,200,15087,1,29684,,,24.0058939,49.617626,294,261,8 000
realty-17349306,17349306,30,1,5,1,5000,167,15748,1,29684,,,23.9285438,49.8727775,184,163,5 000
realty-17352199,17352199,33,1,5,5,4000,121,15088,1,18785,,,,,147,130,4 000
realty-15866604,15866604,112,3,9,6,11000,98,15092,1,24288,cron,1,,,404,359,11 000
realty-12309768,12309768,62,2,3,2,8500,,15089,1,24288,cron,1,24.042969841368,49.838498402613,312,277,8 500
realty-15909262,15909262,49,1,10,2,7500,153,15091,1,24288,cron,1,,,275,244,7 500
realty-15908416,15908416,105,2,5,2,10500,100,15088,1,24288,cron,1,,,385,342,10 500
realty-15755097,15755097,42,1,9,4,7000,167,15092,1,24288,cron,1,,,257,228,7 000
realty-15890905,15890905,65,2,10,8,450,7,15087,1,24288,cron,1,,,450,400,12 262
realty-15920217,15920217,65,2,4,3,9000,138,15092,1,24288,cron,1,,,330,293,9 000
realty-15909297,15909297,47,1,10,8,8000,170,15090,1,24288,cron,1,,,294,261,8 000
realty-16179630,16179630,46,1,5,3,7500,163,15088,1,24288,cron,1,,,275,244,7 500
realty-15909009,15909009,68,2,8,4,8800,129,15088,1,24288,cron,1,,,323,287,8 800
realty-16245240,16245240,40,1,9,2,7500,188,15089,1,24288,cron,1,,,275,244,7 500
realty-15909166,15909166,70,2,9,2,8000,114,15090,1,24288,cron,1,,,294,261,8 000
realty-15891013,15891013,72,2,11,2,8000,111,15090,1,24288,cron,1,,,294,261,8 000
realty-15920412,15920412,92,3,5,3,400,4,15087,1,24288,cron,1,,,400,355,10 899
realty-15598928,15598928,90,3,5,4,9000,100,15091,1,24288,cron,1,,,330,293,9 000
realty-15603310,15603310,80,3,4,1,400,5,15089,1,24288,cron,1,,,400,355,10 899
realty-16421905,16421905,47,1,6,5,8000,170,15091,1,24288,cron,1,,,294,261,8 000
realty-16187810,16187810,52,2,9,3,7900,152,15091,1,24288,cron,1,,,290,258,7 900
realty-12251962,12251962,56,2,9,5,8000,,15089,1,24288,cron,1,,,294,261,8 000
realty-15603467,15603467,69,3,9,4,8000,116,15090,1,24288,cron,1,,,294,261,8 000
realty-15593252,15593252,90,3,9,6,10000,111,15090,1,24288,cron,1,,,367,326,10 000
realty-15754990,15754990,48,1,5,2,7500,156,15092,1,24288,cron,1,,,275,244,7 500
realty-12252228,12252228,54,2,4,3,7000,130,15088,1,24288,cron,1,,,257,228,7 000
realty-12699660,12699660,48,2,5,3,7000,146,15088,1,24288,cron,1,,,257,228,7 000
realty-13006954,13006954,34,1,4,3,6900,203,15091,1,24288,cron,1,24.028783750000002,49.89552333495707,253,225,6 900
realty-16181187,16181187,64,3,9,7,8000,125,15749,1,24288,cron,1,,,294,261,8 000
realty-12704904,12704904,55,2,9,2,8000,145,15090,1,24288,cron,1,24.05757543967286,49.80156427766643,294,261,8 000
realty-12271302,12271302,79,3,3,2,9000,114,15091,1,24288,cron,1,,,330,293,9 000
realty-12642244,12642244,42,1,10,7,7000,167,15090,1,24288,cron,1,,,257,228,7 000
realty-12335328,12335328,62,2,4,2,7500,,15091,1,24288,cron,1,,,275,244,7 500
realty-12159437,12159437,84,3,3,1,8500,101,15091,1,24288,cron,1,,,312,277,8 500
realty-12221906,12221906,23,1,3,1,6900,300,15091,1,24288,cron,1,24.01609410703903,49.83396014808547,253,225,6 900
realty-12098825,12098825,70,2,9,5,7500,107,15090,1,24288,cron,1,,,275,244,7 500
realty-12115413,12115413,42,1,3,2,8000,190,15087,1,24288,cron,1,,,294,261,8 000
realty-12168126,12168126,96,3,3,2,9000,94,15091,1,24288,cron,1,24.009710449584,49.831767198603,330,293,9 000
realty-12518001,12518001,68,3,9,3,9000,132,15092,1,24288,cron,1,,,330,293,9 000
realty-12265963,12265963,99,4,2,2,11000,111,15089,1,24288,cron,1,,,404,359,11 000
realty-12334668,12334668,38,1,4,3,7000,184,15087,1,24288,cron,1,,,257,228,7 000
realty-12271415,12271415,96,4,4,3,12000,125,15087,1,24288,cron,1,,,440,391,12 000
realty-12104484,12104484,60,3,4,3,8000,133,15089,1,24288,cron,1,,,294,261,8 000
realty-17348339,17348339,32,1,2,1,300,9,15091,1,24021,,,,,300,266,8 174
realty-17332103,17332103,68,3,9,6,7500,110,15749,0,,,,,,275,244,7 500
realty-15598947,15598947,50,1,10,2,7800,156,15091,1,24288,cron,1,,,286,254,7 800
